Text,expresso atau americano (Hot),expresso atau americano (Ice),cappucino (Hot),cappucino (Ice),Gula Aren(Hot),Gula Aren(Ice),Coffee Latte(Hot),Coffee Latte(Ice),Caramel Macchiato(Hot),Caramel Macchiato(Ice),mochaccino (Hot),mochaccino (Ice)
mau mochaccino ice satu dong,0,0,0,0,0,0,0,0,0,0,0,1
boleh pesan mochaccino ice satu ya,0,0,0,0,0,0,0,0,0,0,0,1
saya pesan satu mochaccino ice,0,0,0,0,0,0,0,0,0,0,0,1
pesan mochaccino ice satu ya,0,0,0,0,0,0,0,0,0,0,0,1
mas pesan satu mochaccino hot ya,0,0,0,0,0,0,0,0,0,0,1,0
hot mokasino satu dong,0,0,0,0,0,0,0,0,0,0,1,0
saya mau mokasino yang hot satu,0,0,0,0,0,0,0,0,0,0,1,0
satu mokasino hot tolong,0,0,0,0,0,0,0,0,0,0,1,0
hot mokasino satu mas,0,0,0,0,0,0,0,0,0,0,1,0
mas mokasino hot satu ya,0,0,0,0,0,0,0,0,0,0,1,0
boleh pesan mokasino hot satu ya,0,0,0,0,0,0,0,0,0,0,1,0
saya pesan satu mokasino hot,0,0,0,0,0,0,0,0,0,0,1,0
pesan mokasino hot satu ya,0,0,0,0,0,0,0,0,0,0,1,0
mas pesan satu caramel macchiato ice dan satu mokasino ice ya,0,0,0,0,0,0,0,0,1,0,0,1
boleh dua satu karamel makiyato ice dan satu mokasino ice,0,0,0,0,0,0,0,0,0,1,0,1
saya mau pesan satu caramel macchiato ice dan satu mokasino ice,0,0,0,0,0,0,0,0,0,1,0,1
satu caramel macchiato ice satu mokasino ice tolong,0,0,0,0,0,0,0,0,0,1,0,1
pesan karamel  makciato ice satu dan mokasino ice satu ya,0,0,0,0,0,0,0,0,0,1,0,1
mas satu caramel macchiato ice dan satu mokasino ice ya,0,0,0,0,0,0,0,0,0,1,0,1
mau caramel macchiato ice satu dan mochaccino ice satu,0,0,0,0,0,0,0,0,0,1,0,1
boleh satu caramel macchiato ice dan satu mochaccino ice dong,0,0,0,0,0,0,0,0,0,1,0,1
saya pesan caramel macchiato ice dan mochaccino ice satusatu,0,0,0,0,0,0,0,0,0,1,0,1
pesan satu karamel  makciato ice satu mochaccino ice ya,0,0,0,0,0,0,0,0,0,1,0,1
mas pesan satu caramel macchiato hot dan satu mochaccino hot ya,0,0,0,0,0,0,0,0,1,0,1,0
boleh satu caramel macchiato hot dan satu mochaccino hot,0,0,0,0,0,0,0,0,1,0,1,0
saya pesan satu karamel  makciato hot dan satu mochaccino hot,0,0,0,0,0,0,0,0,1,0,1,0
satu karamel  makciato hot dan satu mochaccino hot tolong,0,0,0,0,0,0,0,0,1,0,1,0
pesan karamel  makciato hot satu dan mochaccino hot satu ya,0,0,0,0,0,0,0,0,1,0,1,0
mas satu karamel  makciato hot dan satu mochaccino hot ya,0,0,0,0,0,0,0,0,1,0,1,0
mau karamel  makciato hot satu dan mochaccino hot satu,0,0,0,0,0,0,0,0,1,0,1,0
boleh pesan satu karamel makiyato hot dan satu mochaccino hot dong,0,0,0,0,0,0,0,0,1,0,1,0
saya pesan caramel macchiato hot dan mochaccino hot satusatu,0,0,0,0,0,0,0,0,1,0,1,0
pesan satu caramel macchiato hot satu mochaccino hot ya,0,0,0,0,0,0,0,0,1,0,1,0
aku pesen satu caramel macchiato hot ya mba,0,0,0,0,0,0,0,0,1,0,0,0
boleh satu caramel macchiato hot mba,0,0,0,0,0,0,0,0,1,0,0,0
pesan satu caramel macchiato hot tolong mba,0,0,0,0,0,0,0,0,1,0,0,0
aku mau satu karamel makiyato hot,0,0,0,0,0,0,0,0,1,0,0,0
satu karamel makiyato hot ya mba,0,0,0,0,0,0,0,0,1,0,0,0
aku pesen satu karamel makiyato iced ya mba,0,0,0,0,0,0,0,0,0,1,0,0
boleh satu caramel macchiato iced mba,0,0,0,0,0,0,0,0,0,1,0,0
pesan satu caramel macchiato iced tolong mba,0,0,0,0,0,0,0,0,0,1,0,0
aku mau satu caramel macchiato iced,0,0,0,0,0,0,0,0,0,1,0,0
satu caramel macchiato iced ya mba,0,0,0,0,0,0,0,0,0,1,0,0
aku pesen satu mochaccino hot ya mba,0,0,0,0,0,0,0,0,0,0,1,0
boleh satu mochaccino hot mba,0,0,0,0,0,0,0,0,0,0,1,0
pesan satu mochaccino hot tolong mba,0,0,0,0,0,0,0,0,0,0,1,0
aku mau satu mochaccino hot,0,0,0,0,0,0,0,0,0,0,1,0
satu mochaccino hot ya mba,0,0,0,0,0,0,0,0,0,0,1,0
aku pesen satu mochaccino iced ya mba,0,0,0,0,0,0,0,0,0,0,0,1
boleh satu mochaccino iced mba,0,0,0,0,0,0,0,0,0,0,0,1
pesan satu mochaccino iced tolong mba,0,0,0,0,0,0,0,0,0,0,0,1
aku mau satu mochaccino iced,0,0,0,0,0,0,0,0,0,0,0,1
satu mochaccino iced ya mba,0,0,0,0,0,0,0,0,0,0,0,1
karamel makiyato hot reguler satu ya mba,0,0,0,0,0,0,0,0,1,0,0,0
mba satu karamel makiyato hot reguler ya,0,0,0,0,0,0,0,0,1,0,0,0
aku pesen satu karamel makiyato yang hot ya mba,0,0,0,0,0,0,0,0,1,0,0,0
boleh satu caramel macchiato hot reguler mba,0,0,0,0,0,0,0,0,1,0,0,0
satu caramel macchiato hot reguler aja mba,0,0,0,0,0,0,0,0,1,0,0,0
mba pesen satu caramel macchiato yang hot,0,0,0,0,0,0,0,0,1,0,0,0
aku mau satu caramel macchiato hot reguler,0,0,0,0,0,0,0,0,1,0,0,0
caramel macchiato hot satu aja mba,0,0,0,0,0,0,0,0,1,0,0,0
tolong satu karamel makiyato yang hot mba,0,0,0,0,0,0,0,0,1,0,0,0
mba satu karamel makiyato hot reguler,0,0,0,0,0,0,0,0,1,0,0,0
karamel makiyato ice reguler satu ya mba,0,0,0,0,0,0,0,0,0,1,0,0
mba satu caramel macchiato iced reguler ya,0,0,0,0,0,0,0,0,0,1,0,0
aku pesen satu caramel macchiato yang iced ya mba,0,0,0,0,0,0,0,0,0,1,0,0
boleh satu caramel macchiato iced reguler mba,0,0,0,0,0,0,0,0,0,1,0,0
satu caramel macchiato ice reguler aja mba,0,0,0,0,0,0,0,0,0,1,0,0
mba pesen satu caramel macchiato yang ice,0,0,0,0,0,0,0,0,0,1,0,0
aku mau satu caramel macchiato iced reguler,0,0,0,0,0,0,0,0,0,1,0,0
karamel makiyato iced satu aja mba,0,0,0,0,0,0,0,0,0,1,0,0
tolong satu karamil makiyatu yang ice mba,0,0,0,0,0,0,0,0,0,1,0,0
mba satu caramel macchiato iced reguler,0,0,0,0,0,0,0,0,0,1,0,0
mokasino hot reguler satu ya mba,0,0,0,0,0,0,0,0,0,0,1,0
mba satu mokasino hot reguler ya,0,0,0,0,0,0,0,0,0,0,1,0
aku pesen satu mokasino yang hot ya mba,0,0,0,0,0,0,0,0,0,0,1,0
boleh satu mokasino hot reguler mba,0,0,0,0,0,0,0,0,0,0,1,0
satu mokasino hot reguler aja mba,0,0,0,0,0,0,0,0,0,0,1,0
mba pesen satu mokasino yang hot,0,0,0,0,0,0,0,0,0,0,1,0
aku mau satu mokasino hot reguler,0,0,0,0,0,0,0,0,0,0,1,0
mochaccino hot satu aja mba,0,0,0,0,0,0,0,0,0,0,1,0
tolong satu mochaccino yang hot mba,0,0,0,0,0,0,0,0,0,0,1,0
mba satu mochaccino hot reguler,0,0,0,0,0,0,0,0,0,0,1,0
mochaccino ice reguler satu ya mba,0,0,0,0,0,0,0,0,0,0,0,1
mba satu mochaccino iced reguler ya,0,0,0,0,0,0,0,0,0,0,0,1
aku pesen satu mochaccino yang iced ya mba,0,0,0,0,0,0,0,0,0,0,0,1
boleh satu mochaccino iced reguler mba,0,0,0,0,0,0,0,0,0,0,0,1
satu mochaccino ice reguler aja mba,0,0,0,0,0,0,0,0,0,0,0,1
mba pesen satu mochaccino yang ice,0,0,0,0,0,0,0,0,0,0,0,1
aku mau satu mochaccino iced reguler,0,0,0,0,0,0,0,0,0,0,0,1
mochaccino iced satu aja mba,0,0,0,0,0,0,0,0,0,0,0,1
tolong satu mochaccino yang ice mba,0,0,0,0,0,0,0,0,0,0,0,1
mba satu mochaccino iced reguler,0,0,0,0,0,0,0,0,0,0,0,1
aku pesen satu caramel macchiato hot dan satu mochaccino iced ya mba,0,0,0,0,0,0,0,0,1,0,0,1
mba boleh satu caramel macchiato iced dan satu mochaccino hot,0,0,0,0,0,0,0,0,0,1,1,0
aku mau satu caramel macchiato iced sama satu mochaccino hot ya,0,0,0,0,0,0,0,0,0,1,1,0
tolong satu karamil makiyatu hot dan satu mochaccino iced mba,0,0,0,0,0,0,0,0,1,0,0,1
pesen dua minuman ya mba satu karamil makiyatu hot dan satu mochaccino iced,0,0,0,0,0,0,0,0,1,0,0,1
aku mau satu caramel macchiato yang hot,0,0,0,0,0,0,0,0,1,0,0,0
pesen satu caramel macchiato hot ya,0,0,0,0,0,0,0,0,1,0,0,0
boleh satu caramel macchiato hot ya,0,0,0,0,0,0,0,0,1,0,0,0
aku pesan satu caramel macchiato yang hot,0,0,0,0,0,0,0,0,1,0,0,0
karamil makiyatu hot satu aja tolong,0,0,0,0,0,0,0,0,1,0,0,0
mas satu karamil makiyatu hot ya,0,0,0,0,0,0,0,0,1,0,0,0
aku mau pesan satu caramel macchiato yang hot,0,0,0,0,0,0,0,0,1,0,0,0
tolong satu caramel macchiato hot,0,0,0,0,0,0,0,0,1,0,0,0
pesan satu caramel macchiato hot ya,0,0,0,0,0,0,0,0,1,0,0,0
satu caramel macchiato yang hot terima kasih,0,0,0,0,0,0,0,0,1,0,0,0
aku mau satu caramel macchiato eyes,0,0,0,0,0,0,0,0,0,1,0,0
pesen satu caramel macchiato eyes ya,0,0,0,0,0,0,0,0,0,1,0,0
boleh satu karamil makiyatu yang eyes,0,0,0,0,0,0,0,0,0,1,0,0
aku pesan satu karamil makiyatu eyes,0,0,0,0,0,0,0,0,0,1,0,0
karamil makiyatu eyes satu aja tolong,0,0,0,0,0,0,0,0,0,1,0,0
mas satu karamil makiyatu eyes ya,0,0,0,0,0,0,0,0,0,1,0,0
aku mau pesan satu caramel macchiato eyes,0,0,0,0,0,0,0,0,0,1,0,0
tolong satu caramel macchiato eyes,0,0,0,0,0,0,0,0,0,1,0,0
pesan satu karamel makiyato yang eyes,0,0,0,0,0,0,0,0,0,1,0,0
satu karamel makiyato eyes terima kasih,0,0,0,0,0,0,0,0,0,1,0,0
pesen satu mochaccino hot ya,0,0,0,0,0,0,0,0,0,0,1,0
boleh satu mochaccino yang hot,0,0,0,0,0,0,0,0,0,0,1,0
aku pesan satu mochaccino hot,0,0,0,0,0,0,0,0,0,0,1,0
mochaccino hot satu aja tolong,0,0,0,0,0,0,0,0,0,0,1,0
mas satu mochaccino yang hot ya,0,0,0,0,0,0,0,0,0,0,1,0
aku mau pesan satu mochaccino hot,0,0,0,0,0,0,0,0,0,0,1,0
tolong satu mochaccino hot,0,0,0,0,0,0,0,0,0,0,1,0
pesan satu mochaccino hot ya,0,0,0,0,0,0,0,0,0,0,1,0
satu mochaccino hot terima kasih,0,0,0,0,0,0,0,0,0,0,1,0
aku mau satu mochaccino eyes,0,0,0,0,0,0,0,0,0,0,0,1
pesen satu mokasino eyes ya,0,0,0,0,0,0,0,0,0,0,0,1
boleh satu mokasino yang eyes,0,0,0,0,0,0,0,0,0,0,0,1
aku pesan satu mokasino eyes,0,0,0,0,0,0,0,0,0,0,0,1
mochaccino eyes satu aja tolong,0,0,0,0,0,0,0,0,0,0,0,1
mas satu mochaccino iced ya,0,0,0,0,0,0,0,0,0,0,0,1
aku mau pesan satu mochaccino ice,0,0,0,0,0,0,0,0,0,0,0,1
tolong satu mochaccino iced,0,0,0,0,0,0,0,0,0,0,0,1
pesan satu mochaccino yang ice,0,0,0,0,0,0,0,0,0,0,0,1
satu mochaccino iced terima kasih,0,0,0,0,0,0,0,0,0,0,0,1
aku mau satu karamel makiyato iced dan satu mochaccino hot ya,0,0,0,0,0,0,0,0,0,1,1,0
pesan satu mochaccino hot sama satu mochaccino iced,0,0,0,0,0,0,0,0,0,0,1,1
boleh satu karamel makiyato iced dan satu karamel makiyato yang hot,0,0,0,0,0,0,0,0,1,1,0,0
aku mau dua minuman satu caramel macchiato hot dan caramel macchiato iced,0,0,0,0,0,0,0,0,1,1,0,0
tolong satu mochaccino ice dan satu mochaccino hot,0,0,0,0,0,0,0,0,0,0,1,1
mba pesen satu mochaccino hot dan satu mochaccino ice ya,0,0,0,0,0,0,0,0,0,0,1,1
aku mau satu caramel macchiato ice dan satu mochaccino yang ice,0,0,0,0,0,0,0,0,0,1,0,1
boleh satu caramel macchiato hot terus satu mochaccino hot juga,0,0,0,0,0,0,0,0,1,0,1,0
tolong satu caramel macchiato hot dan satu mochaccino ice ya,0,0,0,0,0,0,0,0,0,0,1,1
mas aku pesen satu caramel macchiato iced dan satu mochaccino hot,0,0,0,0,0,0,0,0,1,1,0,0
pesen caramel macchiato yang hot satu ya,0,0,0,0,0,0,0,0,1,0,0,0
aku pesen karamel makiyato hot satu aja,0,0,0,0,0,0,0,0,1,0,0,0
mas pesen satu karamel makiyato hot ya,0,0,0,0,0,0,0,0,1,0,0,0
aku pesen satu karamel makiyato yang hot,0,0,0,0,0,0,0,0,1,0,0,0
pesen karamel makiyato yang hot satu aja,0,0,0,0,0,0,0,0,1,0,0,0
boleh pesen caramel macchiato hot satu,0,0,0,0,0,0,0,0,1,0,0,0
aku mau pesen satu caramel macchiato yang hot,0,0,0,0,0,0,0,0,1,0,0,0
mas satu caramel macchiato hot aja ya,0,0,0,0,0,0,0,0,1,0,0,0
aku pesen karamel makiyato yang hot satu aja,0,0,0,0,0,0,0,0,1,0,0,0
aku mau pesen karamel makiyato iced satu ya,0,0,0,0,0,0,0,0,0,1,0,0
pesen karamel makiyato yang ice satu ya,0,0,0,0,0,0,0,0,0,1,0,0
aku pesen karamel makiyato iced satu aja,0,0,0,0,0,0,0,0,0,1,0,0
mas pesen satu karamil makiyatu ice ya,0,0,0,0,0,0,0,0,0,1,0,0
aku pesen satu karamil makiyatu yang iced,0,0,0,0,0,0,0,0,0,1,0,0
pesen karamil makiyatu yang ice satu aja,0,0,0,0,0,0,0,0,0,1,0,0
boleh pesen caramel macchiato iced satu,0,0,0,0,0,0,0,0,0,1,0,0
aku mau pesen satu caramel macchiato yang iced,0,0,0,0,0,0,0,0,0,1,0,0
mas satu caramel macchiato iced aja ya,0,0,0,0,0,0,0,0,0,1,0,0
aku pesen caramel macchiato yang ice satu aja,0,0,0,0,0,0,0,0,0,1,0,0
aku mau pesen mochaccino hot satu ya,0,0,0,0,0,0,0,0,0,0,1,0
pesen mochaccino yang hot satu ya,0,0,0,0,0,0,0,0,0,0,1,0
aku pesen mochaccino hot satu aja,0,0,0,0,0,0,0,0,0,0,1,0
mas pesen satu mochaccino hot ya,0,0,0,0,0,0,0,0,0,0,1,0
aku pesen satu mochaccino yang hot,0,0,0,0,0,0,0,0,0,0,1,0
pesen mochaccino yang hot satu aja,0,0,0,0,0,0,0,0,0,0,1,0
boleh pesen mochaccino hot satu,0,0,0,0,0,0,0,0,0,0,1,0
aku mau pesen satu mochaccino yang hot,0,0,0,0,0,0,0,0,0,0,1,0
mas satu mochaccino hot aja ya,0,0,0,0,0,0,0,0,0,0,1,0
aku pesen mochaccino yang hot satu aja,0,0,0,0,0,0,0,0,0,0,1,0
aku mau pesen mochaccino iced satu ya,0,0,0,0,0,0,0,0,0,0,0,1
pesen mochaccino yang ice satu ya,0,0,0,0,0,0,0,0,0,0,0,1
aku pesen mochaccino iced satu aja,0,0,0,0,0,0,0,0,0,0,0,1
mas pesen satu mochaccino ice ya,0,0,0,0,0,0,0,0,0,0,0,1
aku pesen satu mochaccino yang iced,0,0,0,0,0,0,0,0,0,0,0,1
boleh pesen mochaccino iced satu,0,0,0,0,0,0,0,0,0,0,0,1
aku mau pesen satu mochaccino yang iced,0,0,0,0,0,0,0,0,0,0,0,1
mas satu mochaccino iced aja ya,0,0,0,0,0,0,0,0,0,0,0,1
aku pesen mochaccino yang ice satu aja,0,0,0,0,0,0,0,0,0,0,0,1
aku mau pesen caramel macchiato iced satu sama mochaccino hot satu ya,0,0,0,0,0,0,0,0,0,1,1,0
mba pesen satu caramel macchiato ice sama satu mokasino cie,0,0,0,0,0,0,0,0,0,1,0,1
pesen satu karamil makiyatu iced dan satu mokasino hot ya,0,0,0,0,0,0,0,0,0,1,1,0
aku mau pesen dua minuman karamil makiyatu hot satu sama mokasino hot satu,0,0,0,0,0,0,0,0,1,0,1,0
mas boleh pesen satu caramel macchiato hot sama satu mokasino hot,0,0,0,0,0,0,0,0,1,0,1,0
aku mau pesen caramel macchiato ice satu dan mochaccino ice satu ya,0,0,0,0,0,0,0,0,0,1,0,1
pesen satu caramel macchiato ice sama satu caramel macchiato yang hot ya,0,0,0,0,0,0,0,0,1,1,0,0
mas aku mau pesen mocacino ice satu dan mocacino hot satu,0,0,0,0,0,0,0,0,0,0,1,1
aku mau pesen mocacino hot satu dan satu mocacino ice ya,0,0,0,0,0,0,0,0,0,0,1,1
pesen mocacino ice sama mocacino hot satusatu ya mas,0,0,0,0,0,0,0,0,0,0,1,1
1 caramel macchiato hot sama 1 caramel macchiato yang ice ya mas,0,0,0,0,0,0,0,0,1,0,0,1
pesen 1 caramel macchiato hot dan 1 caramel macchiato ice ya mas,0,0,0,0,0,0,0,0,1,1,0,0
mas 1 caramel macchiato dan 1 mocacino duaduanya ice,0,0,0,0,0,0,0,0,0,1,0,1
mas 1 caramel macchiato dan 1 mocacino duaduanya hot,0,0,0,0,0,0,0,0,1,0,1,0
1 karamel makiyato sama 1 mocacino hot,0,0,0,0,0,0,0,0,1,0,1,0
aku mau 1 karamel makiyato ice dan 1 mocacino hot,0,0,0,0,0,0,0,0,0,1,0,1
mas pesen 1 karamel makiyato ice dan 1 mochaccino ice,0,0,0,0,0,0,0,0,0,1,0,1
1 karamel makiyato ice dan 1 mochaccino hot,0,0,0,0,0,0,0,0,0,1,1,0
1 karamel makiyato dan 1 mochaccino duaduanya hot ya mas,0,0,0,0,0,0,0,0,1,0,1,0
mas tolong 1 caramel macchiato ice sama 1 mochaccino ice,0,0,0,0,0,0,0,0,0,1,0,1
boleh pesen 1 caramel macchiato dan 1 mochaccino duaduanya ice ya,0,0,0,0,0,0,0,0,1,0,1,0
1 caramel macchiato sama 1 mochaccino ice semua ya mas,0,0,0,0,0,0,0,0,0,1,0,1
aku pesen 1 caramel macchiato ice sama 1 mochaccino ice ya mas,0,0,0,0,0,0,0,0,1,0,0,1
mas pesen 1 caramel macchiato dan 1 mochaccino hot duaduanya ice,0,0,0,0,0,0,0,0,1,0,1,0
1 caramel macchiato dan 1 mochaccino semua ice ya mas,0,0,0,0,0,0,0,0,0,1,0,1
mas pesen 1 caramel macchiato sama 1 mochaccino keduanya yang hot ya,0,0,0,0,0,0,0,0,1,0,1,0
aku mau 1 karamel makiyato ice sama 1 karamel makiyato hot ya mas,0,0,0,0,0,0,0,0,1,1,0,0
mas boleh mocacino dua satu es satu hot,0,0,0,0,0,0,0,0,0,0,1,1
mas boleh karamel makiyato dua satu es satu hot,0,0,0,0,0,0,0,0,1,1,0,0
pesen 1 karamel makiyato sama 1 mocacino ice semua mas,0,0,0,0,0,0,0,0,0,1,0,1
mas karamel makiyato ice satu ya,0,0,0,0,0,0,0,0,0,1,0,0
pesen karamel makiyato yang iced satu mas,0,0,0,0,0,0,0,0,0,1,0,0
mau karamel makiyato ice satu aja,0,0,0,0,0,0,0,0,0,1,0,0
minta karamel makiyato yang ice satu ya mas,0,0,0,0,0,0,0,0,0,1,0,0
boleh karamel makiyato iced satu ya,0,0,0,0,0,0,0,0,0,1,0,0
aku mau karamel makiyato yang ice satu,0,0,0,0,0,0,0,0,0,1,0,0
pesen caramel macchiato ice satu aja ya,0,0,0,0,0,0,0,0,0,1,0,0
mas caramel macchiato yang ice satu ya,0,0,0,0,0,0,0,0,0,1,0,0
caramel macchiato ice satu aja mas,0,0,0,0,0,0,0,0,0,1,0,0
pesen caramel macchiato hot satu ya,0,0,0,0,0,0,0,0,1,0,0,0
mas caramel macchiato yang hot satu,0,0,0,0,0,0,0,0,1,0,0,0
aku mau caramel macchiato hot satu ya,0,0,0,0,0,0,0,0,1,0,0,0
caramel macchiato hot satu aja mas,0,0,0,0,0,0,0,0,1,0,0,0
pesen caramel macchiato hot satu ya mas,0,0,0,0,0,0,0,0,1,0,0,0
minta caramel macchiato hot satu ya,0,0,0,0,0,0,0,0,1,0,0,0
mau caramel macchiato yang hot satu,0,0,0,0,0,0,0,0,1,0,0,0
boleh caramel macchiato hot satu mas,0,0,0,0,0,0,0,0,1,0,0,0
aku mau caramel macchiato yang hot satu ya,0,0,0,0,0,0,0,0,1,0,0,0
pesen mocacino ice satu ya,0,0,0,0,0,0,0,0,0,0,0,1
mas mocacino yang ice satu ya,0,0,0,0,0,0,0,0,0,0,0,1
mochaccino iced satu aja mas,0,0,0,0,0,0,0,0,0,0,0,1
aku mau mochaccino ice satu ya,0,0,0,0,0,0,0,0,0,0,0,1
pesen mochaccino yang ice satu aja,0,0,0,0,0,0,0,0,0,0,0,1
boleh mochaccino iced satu mas,0,0,0,0,0,0,0,0,0,0,0,1
pesen mochaccino yang ice satu aja ya,0,0,0,0,0,0,0,0,0,0,0,1
aku mau mochaccino iced satu mas,0,0,0,0,0,0,0,0,0,0,0,1
minta mochaccino ice satu ya,0,0,0,0,0,0,0,0,0,0,0,1
pesen mochaccino hot satu ya,0,0,0,0,0,0,0,0,0,0,1,0
aku mau mochaccino hot satu ya,0,0,0,0,0,0,0,0,0,0,1,0
mochaccino hot satu aja mas,0,0,0,0,0,0,0,0,0,0,1,0
boleh mochaccino yang hot satu ya mas,0,0,0,0,0,0,0,0,0,0,1,0
pesen mochaccino hot satu mas,0,0,0,0,0,0,0,0,0,0,1,0
mas mochaccino hot satu ya,0,0,0,0,0,0,0,0,0,0,1,0
aku mau mochaccino hot satu ya mas,0,0,0,0,0,0,0,0,0,0,1,0
mau mochaccino yang hot satu mas,0,0,0,0,0,0,0,0,0,0,1,0
pesen 1 caramel macchiato ice sama 1 mochaccino hot ya,0,0,0,0,0,0,0,0,0,1,1,0
mas caramel macchiato iced satu dan mochaccino hot satu,0,0,0,0,0,0,0,0,0,1,1,0
